"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"21","Kentucky","21001","Adair","2022","41","",
"21","Kentucky","21003","Allen","2022","47","",
"21","Kentucky","21005","Anderson","2022","63","",
"21","Kentucky","21007","Ballard","2022","8","",
"21","Kentucky","21009","Barren","2022","66","",
"21","Kentucky","21011","Bath","2022","20","",
"21","Kentucky","21013","Bell","2022","62","",
"21","Kentucky","21015","Boone","2022","174","",
"21","Kentucky","21017","Bourbon","2022","89","",
"21","Kentucky","21019","Boyd","2022","82","",
"21","Kentucky","21021","Boyle","2022","83","",
"21","Kentucky","21023","Bracken","2022","9","",
"21","Kentucky","21025","Breathitt","2022","15","",
"21","Kentucky","21027","Breckinridge","2022","48","",
"21","Kentucky","21029","Bullitt","2022","169","",
"21","Kentucky","21031","Butler","2022","21","",
"21","Kentucky","21033","Caldwell","2022","39","",
"21","Kentucky","21035","Calloway","2022","39","",
"21","Kentucky","21037","Campbell","2022","117","",
"21","Kentucky","21039","Carlisle","2022","7","",
"21","Kentucky","21041","Carroll","2022","51","",
"21","Kentucky","21043","Carter","2022","23","",
"21","Kentucky","21045","Casey","2022","54","",
"21","Kentucky","21047","Christian","2022","197","",
"21","Kentucky","21049","Clark","2022","95","",
"21","Kentucky","21051","Clay","2022","58","",
"21","Kentucky","21053","Clinton","2022","27","",
"21","Kentucky","21055","Crittenden","2022","27","",
"21","Kentucky","21057","Cumberland","2022","14","",
"21","Kentucky","21059","Daviess","2022","225","",
"21","Kentucky","21061","Edmonson","2022","8","",
"21","Kentucky","21063","Elliott","2022","7","",
"21","Kentucky","21065","Estill","2022","41","",
"21","Kentucky","21067","Fayette","2022","1,104","",
"21","Kentucky","21069","Fleming","2022","20","",
"21","Kentucky","21071","Floyd","2022","62","",
"21","Kentucky","21073","Franklin","2022","128","",
"21","Kentucky","21075","Fulton","2022","8","",
"21","Kentucky","21077","Gallatin","2022","22","",
"21","Kentucky","21079","Garrard","2022","39","",
"21","Kentucky","21081","Grant","2022","44","",
"21","Kentucky","21083","Graves","2022","82","",
"21","Kentucky","21085","Grayson","2022","89","",
"21","Kentucky","21087","Green","2022","26","",
"21","Kentucky","21089","Greenup","2022","53","",
"21","Kentucky","21091","Hancock","2022","17","",
"21","Kentucky","21093","Hardin","2022","321","",
"21","Kentucky","21095","Harlan","2022","93","",
"21","Kentucky","21097","Harrison","2022","40","",
"21","Kentucky","21099","Hart","2022","28","",
"21","Kentucky","21101","Henderson","2022","78","",
"21","Kentucky","21103","Henry","2022","49","",
"21","Kentucky","21105","Hickman","2022","17","",
"21","Kentucky","21107","Hopkins","2022","55","",
"21","Kentucky","21109","Jackson","2022","15","",
"21","Kentucky","21111","Jefferson","2022","4,002","",
"21","Kentucky","21113","Jessamine","2022","145","",
"21","Kentucky","21115","Johnson","2022","47","",
"21","Kentucky","21117","Kenton","2022","322","",
"21","Kentucky","21119","Knott","2022","13","",
"21","Kentucky","21121","Knox","2022","35","",
"21","Kentucky","21123","Larue","2022","25","",
"21","Kentucky","21125","Laurel","2022","73","",
"21","Kentucky","21127","Lawrence","2022","17","",
"21","Kentucky","21129","Lee","2022","8","",
"21","Kentucky","21131","Leslie","2022","16","",
"21","Kentucky","21133","Letcher","2022","49","",
"21","Kentucky","21135","Lewis","2022","Suppressed","",
"21","Kentucky","21137","Lincoln","2022","82","",
"21","Kentucky","21139","Livingston","2022","13","",
"21","Kentucky","21141","Logan","2022","65","",
"21","Kentucky","21143","Lyon","2022","13","",
"21","Kentucky","21151","Madison","2022","191","",
"21","Kentucky","21153","Magoffin","2022","10","",
"21","Kentucky","21155","Marion","2022","44","",
"21","Kentucky","21157","Marshall","2022","43","",
"21","Kentucky","21159","Martin","2022","21","",
"21","Kentucky","21161","Mason","2022","59","",
"21","Kentucky","21145","McCracken","2022","161","",
"21","Kentucky","21147","McCreary","2022","24","",
"21","Kentucky","21149","McLean","2022","14","",
"21","Kentucky","21163","Meade","2022","30","",
"21","Kentucky","21165","Menifee","2022","12","",
"21","Kentucky","21167","Mercer","2022","85","",
"21","Kentucky","21169","Metcalfe","2022","16","",
"21","Kentucky","21171","Monroe","2022","29","",
"21","Kentucky","21173","Montgomery","2022","59","",
"21","Kentucky","21175","Morgan","2022","33","",
"21","Kentucky","21177","Muhlenberg","2022","66","",
"21","Kentucky","21179","Nelson","2022","129","",
"21","Kentucky","21181","Nicholas","2022","22","",
"21","Kentucky","21183","Ohio","2022","43","",
"21","Kentucky","21185","Oldham","2022","124","",
"21","Kentucky","21187","Owen","2022","16","",
"21","Kentucky","21189","Owsley","2022","14","",
"21","Kentucky","21191","Pendleton","2022","17","",
"21","Kentucky","21193","Perry","2022","38","",
"21","Kentucky","21195","Pike","2022","90","",
"21","Kentucky","21197","Powell","2022","29","",
"21","Kentucky","21199","Pulaski","2022","160","",
"21","Kentucky","21201","Robertson","2022","Suppressed","",
"21","Kentucky","21203","Rockcastle","2022","43","",
"21","Kentucky","21205","Rowan","2022","54","",
"21","Kentucky","21207","Russell","2022","31","",
"21","Kentucky","21209","Scott","2022","140","",
"21","Kentucky","21211","Shelby","2022","122","",
"21","Kentucky","21213","Simpson","2022","45","",
"21","Kentucky","21215","Spencer","2022","51","",
"21","Kentucky","21217","Taylor","2022","85","",
"21","Kentucky","21219","Todd","2022","10","",
"21","Kentucky","21221","Trigg","2022","16","",
"21","Kentucky","21223","Trimble","2022","14","",
"21","Kentucky","21225","Union","2022","28","",
"21","Kentucky","21227","Warren","2022","305","",
"21","Kentucky","21229","Washington","2022","34","",
"21","Kentucky","21231","Wayne","2022","53","",
"21","Kentucky","21233","Webster","2022","8","",
"21","Kentucky","21235","Whitley","2022","54","",
"21","Kentucky","21237","Wolfe","2022","11","",
"21","Kentucky","21239","Woodford","2022","81","",
