"StateFIPS","State","Year","Value","Data Comment",,"Age Group""Sex"
"04","Arizona","2022","279","",,"0 TO 4""Male"
"04","Arizona","2022","154","",,"0 TO 4""Female"
"04","Arizona","2022","382","",,"5 TO 14""Male"
"04","Arizona","2022","289","",,"5 TO 14""Female"
"04","Arizona","2022","139","",,"15 TO 34""Male"
"04","Arizona","2022","246","",,"15 TO 34""Female"
"04","Arizona","2022","204","",,"35 TO 64""Male"
"04","Arizona","2022","470","",,"35 TO 64""Female"
"04","Arizona","2022","61","",,">= 65""Male"
"04","Arizona","2022","187","",,">= 65""Female"
"08","Colorado","2022","522","",,"0 TO 4""Male"
"08","Colorado","2022","310","",,"0 TO 4""Female"
"08","Colorado","2022","524","",,"5 TO 14""Male"
"08","Colorado","2022","429","",,"5 TO 14""Female"
"08","Colorado","2022","140","",,"15 TO 34""Male"
"08","Colorado","2022","204","",,"15 TO 34""Female"
"08","Colorado","2022","126","",,"35 TO 64""Male"
"08","Colorado","2022","265","",,"35 TO 64""Female"
"08","Colorado","2022","37","",,">= 65""Male"
"08","Colorado","2022","94","",,">= 65""Female"
"09","Connecticut","2022","411","",,"0 TO 4""Male"
"09","Connecticut","2022","240","",,"0 TO 4""Female"
"09","Connecticut","2022","314","",,"5 TO 14""Male"
"09","Connecticut","2022","254","",,"5 TO 14""Female"
"09","Connecticut","2022","104","",,"15 TO 34""Male"
"09","Connecticut","2022","178","",,"15 TO 34""Female"
"09","Connecticut","2022","154","",,"35 TO 64""Male"
"09","Connecticut","2022","392","",,"35 TO 64""Female"
"09","Connecticut","2022","40","",,">= 65""Male"
"09","Connecticut","2022","176","",,">= 65""Female"
"10","Delaware","2022","57","",,"0 TO 4""Male"
"10","Delaware","2022","44","",,"0 TO 4""Female"
"10","Delaware","2022","69","",,"5 TO 14""Male"
"10","Delaware","2022","66","",,"5 TO 14""Female"
"10","Delaware","2022","36","",,"15 TO 34""Male"
"10","Delaware","2022","61","",,"15 TO 34""Female"
"10","Delaware","2022","46","",,"35 TO 64""Male"
"10","Delaware","2022","115","",,"35 TO 64""Female"
"10","Delaware","2022","9","",,">= 65""Male"
"10","Delaware","2022","60","",,">= 65""Female"
"12","Florida","2022","1,030","",,"0 TO 4""Male"
"12","Florida","2022","699","",,"0 TO 4""Female"
"12","Florida","2022","1,063","",,"5 TO 14""Male"
"12","Florida","2022","740","",,"5 TO 14""Female"
"12","Florida","2022","440","",,"15 TO 34""Male"
"12","Florida","2022","689","",,"15 TO 34""Female"
"12","Florida","2022","846","",,"35 TO 64""Male"
"12","Florida","2022","2,230","",,"35 TO 64""Female"
"12","Florida","2022","360","",,">= 65""Male"
"12","Florida","2022","1,298","",,">= 65""Female"
"18","Indiana","2022","276","",,"0 TO 4""Male"
"18","Indiana","2022","173","",,"0 TO 4""Female"
"18","Indiana","2022","270","",,"5 TO 14""Male"
"18","Indiana","2022","208","",,"5 TO 14""Female"
"18","Indiana","2022","127","",,"15 TO 34""Male"
"18","Indiana","2022","196","",,"15 TO 34""Female"
"18","Indiana","2022","148","",,"35 TO 64""Male"
"18","Indiana","2022","379","",,"35 TO 64""Female"
"18","Indiana","2022","42","",,">= 65""Male"
"18","Indiana","2022","189","",,">= 65""Female"
"19","Iowa","2022","96","",,"0 TO 4""Male"
"19","Iowa","2022","50","",,"0 TO 4""Female"
"19","Iowa","2022","57","",,"5 TO 14""Male"
"19","Iowa","2022","48","",,"5 TO 14""Female"
"19","Iowa","2022","22","",,"15 TO 34""Male"
"19","Iowa","2022","38","",,"15 TO 34""Female"
"19","Iowa","2022","38","",,"35 TO 64""Male"
"19","Iowa","2022","84","",,"35 TO 64""Female"
"19","Iowa","2022","20","",,">= 65""Male"
"19","Iowa","2022","51","",,">= 65""Female"
"20","Kansas","2022","139","",,"0 TO 4""Male"
"20","Kansas","2022","69","",,"0 TO 4""Female"
"20","Kansas","2022","138","",,"5 TO 14""Male"
"20","Kansas","2022","94","",,"5 TO 14""Female"
"20","Kansas","2022","33","",,"15 TO 34""Male"
"20","Kansas","2022","45","",,"15 TO 34""Female"
"20","Kansas","2022","46","",,"35 TO 64""Male"
"20","Kansas","2022","95","",,"35 TO 64""Female"
"20","Kansas","2022","22","",,">= 65""Male"
"20","Kansas","2022","55","",,">= 65""Female"
"21","Kentucky","2022","180","",,"0 TO 4""Male"
"21","Kentucky","2022","111","",,"0 TO 4""Female"
"21","Kentucky","2022","200","",,"5 TO 14""Male"
"21","Kentucky","2022","134","",,"5 TO 14""Female"
"21","Kentucky","2022","50","",,"15 TO 34""Male"
"21","Kentucky","2022","91","",,"15 TO 34""Female"
"21","Kentucky","2022","54","",,"35 TO 64""Male"
"21","Kentucky","2022","167","",,"35 TO 64""Female"
"21","Kentucky","2022","21","",,">= 65""Male"
"21","Kentucky","2022","89","",,">= 65""Female"
"22","Louisiana","2022","199","",,"0 TO 4""Male"
